rank,amount
18,250.0
19,300.0
20,500.0
21,250.0
22,2500.0
23,2500.0
24,150.0
25,200.0
26,100.0
27,250.0
28,500.0
29,250.0
30,100.0
31,500.0
32,1000.0
33,250.0
34,300.0
35,100.0
36,250.0
37,250.0
38,250.0
39,250.0
40,500.0
42,250.0
43,500.0
44,250.0
45,260.0
46,500.0
47,250.0
48,240.0
49,100.0
50,500.0
51,500.0
52,500.0
53,500.0
54,1000.0
55,1000.0
56,250.0
57,250.0
58,1500.0
59,150.0
60,900.0
61,250.0
62,500.0
63,250.0
64,250.0
65,1000.0
66,800.0
67,250.0
68,500.0
69,1000.0
70,1000.0
71,250.0
72,300.0
73,1000.0
74,300.0
75,250.0
76,2500.0
77,250.0
2420,100.0
2421,50.0
2422,500.0
2423,500.0
2424,125.0
2425,125.0
2426,125.0
2427,50.0
2428,75.0
2433,500.0
2434,250.0
2435,2500.0
2436,1000.0
2437,125.0
2438,100.0
2439,200.0
2463,250.0
2464,2500.0
2465,250.0
2466,30.0
2467,25.0
2468,25.0
2469,200.0
2470,1000.0
2471,100.0
2472,100.0
2473,54.0
2474,2500.0
2475,2500.0
2476,250.0
2477,100.0
2478,150.0
2479,100.0
2480,2500.0
2481,2500.0
2482,1500.0
2483,1000.0
2484,100.0
2485,100.0
2486,100.0
2487,250.0
2488,100.0
2489,100.0
2490,50.0
2491,35.0
2492,2500.0
2493,2500.0
2494,250.0
2495,1000.0
2496,250.0
2497,1250.0
2498,1250.0
2499,1000.0
2500,2500.0
2501,100.0
2502,50.0
2503,150.0
2504,50.0
2505,1000.0
2506,100.0
2507,500.0
2508,500.0
2509,500.0
2510,100.0
2511,5.0
2512,250.0
2513,2500.0
2514,500.0
2515,250.0
2516,2000.0
2517,2500.0
2518,40.0
2519,40.0
2520,2500.0
2521,5000.0
2522,2500.0
2523,25.0
2524,50.0
2525,50.0
2526,2500.0
2527,2500.0
2528,2500.0
2529,1000.0
2530,1000.0
2531,2500.0
2532,1000.0
2533,2500.0
2534,2500.0
2535,500.0
2536,500.0
2537,50.0
2538,50.0
2539,600.0
2540,250.0
2541,55.0
2542,55.0
2543,55.0
2544,250.0
2545,2500.0
2546,1000.0
2547,100.0
2548,100.0
2549,1000.0
2550,500.0
2551,500.0
2552,99.0
2553,250.0
2554,2500.0
2555,2500.0
2556,2500.0
2557,2500.0
2558,2500.0
2559,1000.0
2560,1000.0
2561,2500.0
2562,2500.0
2563,2500.0
2564,50.0
2565,100.0
2566,200.0
2567,1000.0
2568,50.0
2569,50.0
2570,50.0
2571,2500.0
2572,250.0
2573,200.0
2574,1000.0
2575,500.0
2576,200.0
2577,250.0
2578,1000.0
2579,200.0
2580,25.0
2581,50.0
2582,100.0
2583,25.0
2584,100.0
2585,50.0
2586,50.0
2587,2500.0
2588,1000.0
2590,1500.0
2591,50.0
2592,25.0
2593,50.0
2594,25.0
2595,300.0
2596,1000.0
2597,50.0
2598,50.0
2599,50.0
2600,50.0
2601,100.0
2602,250.0
2603,20.0
2604,20.0
2605,20.0
2606,40.0
2607,50.0
2608,20.0
2609,20.0
2610,2500.0
2611,2500.0
2612,500.0
2613,500.0
2614,100.0
2615,25.0
2616,25.0
2617,25.0
2618,25.0
2619,2500.0
2620,2500.0
2621,2500.0
2622,2500.0
2623,200.0
2624,25.0
2625,55.0
2626,200.0
2627,100.0
2628,1000.0
2629,1000.0
2630,50.0
2631,50.0
2632,2500.0
2633,2500.0
2634,1000.0
2635,2500.0
2636,99.0
2637,1000.0
2638,100.0
2639,1000.0
2640,1000.0
2641,3.0
2642,3.0
2643,5.0
2644,2500.0
2645,2500.0
2646,25.0
2647,50.0
2648,40.0
2649,50.0
2650,100.0
2651,2500.0
2652,2500.0
2653,100.0
2654,500.0
2655,250.0
2656,100.0
2657,25.0
2658,100.0
2659,25.0
2660,25.0
2661,25.0
2662,2500.0
2663,100.0
2664,100.0
2665,100.0
2666,50.0
2667,2500.0
2668,1000.0
2669,2500.0
2670,2500.0
2671,180.0
2672,180.0
2673,1000.0
2674,1000.0
2675,1000.0
2676,100.0
2677,1000.0
2678,2500.0
2679,1500.0
2680,1000.0
2681,40.0
2682,20.0
2683,21.0
2684,2500.0
2685,250.0
2686,1000.0
2687,2500.0
2688,25.0
2689,1000.0
2690,2500.0
2691,2500.0
2692,100.0
2693,1000.0
2694,2500.0
