state,amount
AA,33
AB,2
AE,277
AK,1552
AL,3228
AP,166
AR,1518
AS,9
AZ,8576
BR,0
CA,63649
CO,8570
CT,7107
DC,6515
DE,1155
FF,41
FL,25159
FM,2
GA,12962
GU,43
HI,2425
IA,3553
ID,1834
IL,20560
IN,4792
KS,2607
KY,2714
LA,4496
MA,15626
MD,13096
ME,2031
MI,10021
MN,7267
MO,5439
MP,13
MS,1532
MT,1421
NC,9283
ND,601
NE,1460
NH,2913
NJ,11271
NM,3084
NO,1
NV,3819
NY,31943
OH,8663
OK,3335
ON,1
OR,5728
PA,13723
PR,298
QU,1
RI,1334
SC,3751
SD,725
TE,3
TN,5829
TX,35240
UK,1
UT,5395
VA,14939
VI,220
VT,1410
WA,12243
WI,5180
WV,1046
WY,1074
XX,180
ZZ,84
